Equipos,GMC,GRC,GMF,GRF,GMT,GRT,GMCPP,GRCPP,GMFPP,GRFPP,GMTPP,GRTPP,VC,VF,VT,EC,EF,ET,DC,DF,DT,PTC,PTF,PT,RCPP,RRCPP,RFPP,RRFPP,RPP,RRPP,RPCPP,RPRCPP,RPFPP,RPRFPP,RPPP,RRPPP
Granada,43,63,33,88,76,151,0.5657894736842105,0.8289473684210527,0.4342105263157895,1.1578947368421053,1.0,1.9868421052631584,10,4,14,9,8,17,19,26,45,38,38,76,12.0,12.131578947368421,9.289473684210526,14.68421052631579,10.644736842105264,13.407894736842104,3.763157894736842,4.947368421052632,2.9210526315789473,6.2631578947368425,3.3421052631578947,5.605263157894737
Huesca,48,60,38,70,86,130,0.631578947368421,0.7894736842105263,0.5,0.9210526315789472,1.131578947368421,1.7105263157894737,10,4,14,12,12,24,16,22,38,38,38,76,14.894736842105264,9.473684210526315,10.052631578947368,15.31578947368421,12.473684210526315,12.394736842105264,5.0,3.6315789473684212,2.9473684210526314,5.7894736842105265,3.973684210526316,4.7105263157894735
La Coruna,74,90,52,108,126,198,0.6491228070175439,0.7894736842105263,0.456140350877193,0.9473684210526316,1.1052631578947372,1.7368421052631582,15,7,22,19,22,41,23,28,51,57,57,114,13.771929824561404,10.701754385964913,10.368421052631579,14.175438596491228,12.070175438596491,12.43859649122807,4.526315789473684,3.736842105263158,3.192982456140351,5.140350877192983,3.8596491228070176,4.43859649122807
Las Palmas,73,80,49,121,122,201,0.6403508771929824,0.7017543859649122,0.4298245614035088,1.0614035087719298,1.0701754385964912,1.7631578947368418,21,6,27,13,11,24,23,40,63,57,57,114,12.298245614035087,10.842105263157896,9.912280701754385,15.192982456140351,11.105263157894736,13.017543859649123,4.649122807017544,4.315789473684211,3.6666666666666665,5.912280701754386,4.157894736842105,5.114035087719298
Leganes,79,74,65,118,144,192,0.5197368421052632,0.4868421052631579,0.4276315789473684,0.7763157894736842,0.9473684210526316,1.263157894736842,28,14,42,26,16,42,22,46,68,76,76,152,12.236842105263158,8.855263157894736,9.43421052631579,12.736842105263158,10.835526315789474,10.796052631578947,3.789473684210526,3.223684210526316,3.223684210526316,4.421052631578948,3.5065789473684212,3.8223684210526314
Levante,116,122,83,138,199,260,0.7631578947368421,0.8026315789473685,0.5460526315789473,0.9078947368421052,1.3092105263157894,1.7105263157894737,26,15,41,25,18,43,25,43,68,76,76,152,12.894736842105264,13.828947368421053,9.855263157894736,18.05263157894737,11.375,15.94078947368421,4.4605263157894735,4.578947368421052,3.3157894736842106,6.276315789473684,3.888157894736842,5.427631578947368
Malaga,72,67,39,84,111,151,0.631578947368421,0.5877192982456141,0.34210526315789475,0.7368421052631579,0.9736842105263158,1.3245614035087718,22,7,29,11,16,27,24,34,58,57,57,114,13.491228070175438,10.210526315789474,10.035087719298245,12.140350877192983,11.763157894736842,11.175438596491228,4.56140350877193,3.8947368421052633,3.3508771929824563,4.315789473684211,3.956140350877193,4.105263157894737
Osasuna,23,39,17,55,40,94,0.6052631578947368,1.0263157894736843,0.4473684210526316,1.4473684210526316,1.0526315789473684,2.473684210526316,2,2,4,7,3,10,10,14,24,19,19,38,11.894736842105264,11.947368421052632,8.578947368421053,14.631578947368421,10.236842105263158,13.289473684210526,4.473684210526316,4.7368421052631575,3.0526315789473686,5.842105263157895,3.763157894736842,5.2894736842105265
Real Madrid,236,86,200,125,436,211,1.2421052631578948,0.4526315789473685,1.0526315789473684,0.6578947368421053,2.294736842105263,1.1105263157894736,68,53,121,11,21,32,16,21,37,95,95,190,18.88421052631579,9.284210526315789,15.4,11.705263157894738,17.142105263157895,10.494736842105263,7.410526315789474,3.431578947368421,5.894736842105263,4.147368421052631,6.652631578947369,3.789473684210526
Sevilla,186,99,107,152,293,251,0.9789473684210528,0.5210526315789473,0.5631578947368421,0.8,1.5421052631578946,1.3210526315789477,63,23,86,16,26,42,16,46,62,95,95,190,14.936842105263159,11.031578947368422,11.68421052631579,13.91578947368421,13.310526315789474,12.473684210526315,5.6947368421052635,3.863157894736842,4.042105263157895,4.673684210526316,4.868421052631579,4.268421052631579
Sociedad,145,113,115,139,260,252,0.7631578947368421,0.5947368421052631,0.6052631578947368,0.7315789473684211,1.368421052631579,1.3263157894736841,41,31,72,25,20,45,29,44,73,95,95,190,13.778947368421052,9.76842105263158,10.547368421052632,12.094736842105263,12.163157894736843,10.93157894736842,4.663157894736842,3.4842105263157896,3.557894736842105,4.557894736842106,4.110526315789474,4.021052631578947
Sp Gijon,54,66,28,68,82,134,0.7105263157894737,0.8684210526315791,0.3684210526315789,0.8947368421052632,1.0789473684210529,1.7631578947368418,12,5,17,8,11,19,18,22,40,38,38,76,11.736842105263158,13.421052631578947,7.894736842105263,15.578947368421053,9.81578947368421,14.5,4.342105263157895,5.2631578947368425,2.4210526315789473,5.605263157894737,3.3815789473684212,5.434210526315789
Valencia,141,95,128,126,269,221,0.7421052631578947,0.5,0.6736842105263158,0.6631578947368421,1.4157894736842105,1.1631578947368422,41,35,76,34,23,57,20,37,57,95,95,190,14.073684210526316,10.91578947368421,9.894736842105264,15.031578947368422,11.98421052631579,12.973684210526315,4.968421052631579,3.8842105263157896,3.705263157894737,4.821052631578947,4.336842105263158,4.352631578947369
Valladolid,32,52,32,50,64,102,0.42105263157894735,0.6842105263157895,0.42105263157894735,0.6578947368421053,0.8421052631578947,1.3421052631578947,10,10,20,10,12,22,18,16,34,38,38,76,12.263157894736842,10.421052631578947,9.473684210526315,15.578947368421053,10.868421052631579,13.0,3.789473684210526,3.6315789473684212,3.210526315789474,4.684210526315789,3.5,4.157894736842105
Vallecano,79,93,55,120,134,213,0.6929824561403509,0.8157894736842105,0.4824561403508772,1.0526315789473684,1.1754385964912282,1.868421052631579,18,7,25,16,11,27,23,39,62,57,57,114,13.192982456140351,10.719298245614034,11.56140350877193,13.263157894736842,12.37719298245614,11.991228070175438,4.87719298245614,4.368421052631579,3.491228070175439,5.456140350877193,4.184210526315789,4.912280701754386
Villarreal,152,104,103,118,255,222,0.8,0.5473684210526316,0.5421052631578948,0.6210526315789474,1.3421052631578947,1.168421052631579,44,31,75,27,28,55,24,36,60,95,95,190,13.494736842105263,11.23157894736842,9.905263157894737,15.673684210526316,11.7,13.452631578947368,4.8,3.6210526315789475,3.778947368421053,5.052631578947368,4.2894736842105265,4.336842105263158
